churn_label,metric,institutions,total,mean,median,p25,p75,positive_count,positive_share_pct
0,assessment_count,66,0,0,0,0,0,0,0
0,attendance_count,66,0,0,0,0,0,0,0
0,class_count,66,298,4.515151515,3,1,7.75,53,80.3030303
0,engagement_score,66,334.34,5.065757576,0.035,0,0.615,37,56.06060606
0,material_count,66,77,1.166666667,0,0,1,23,34.84848485
0,student_count,66,6819,103.3181818,60.5,14,157.75,61,92.42424242
0,teacher_count,66,173,2.621212121,1,1,1,51,77.27272727
1,assessment_count,1017,0,0,0,0,0,0,0
1,attendance_count,1017,0,0,0,0,0,0,0
1,class_count,1017,1015,0.9980334317,0,0,1,384,37.75811209
1,engagement_score,1017,106.05,0.1042772861,0,0,0,54,5.309734513
1,material_count,1017,31,0.03048180924,0,0,0,23,2.261553589
1,student_count,1017,3394,3.33726647,0,0,1,285,28.02359882
1,teacher_count,1017,673,0.6617502458,0,0,1,495,48.67256637
