institution_id,attendance_count,material_count,assessment_count,teacher_count,student_count,class_count,engagement_score,churn_label,review_flag_1,review_flag_2,review_flag_3,review_flag_4,review_flag_5,review_reasons
59,0,2,0,10,284,0,5.17,0,False,False,False,True,False,Active label; no teacher or no class recorded
60,0,0,0,1,59,11,0.0,0,False,False,False,False,True,Active label; no materials recorded
74,0,0,0,0,2,0,0.0,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
80,0,0,0,1,10,1,0.0,0,False,False,False,False,True,Active label; no materials recorded
81,0,0,0,1,154,5,0.0,0,False,False,False,False,True,Active label; no materials recorded
93,0,0,0,0,26,4,0.22,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
95,0,0,0,0,0,0,1.2,1,True,False,False,False,False,Positive score; all six counts zero
102,0,0,0,5,235,15,0.0,0,False,False,False,False,True,Active label; no materials recorded
190,0,0,0,1,169,5,0.04,0,False,False,False,False,True,Active label; no materials recorded
317,0,0,0,0,0,0,0.2,1,True,False,False,False,False,Positive score; all six counts zero
326,0,0,0,0,0,0,0.2,1,True,False,False,False,False,Positive score; all six counts zero
404,0,0,0,0,0,0,0.2,1,True,False,False,False,False,Positive score; all six counts zero
433,0,0,0,1,66,3,0.0,0,False,False,False,False,True,Active label; no materials recorded
472,0,1,0,0,159,2,0.0,0,False,True,False,True,False,Materials recorded; score zero; Active label; no teacher or no class recorded
498,0,0,0,0,0,0,0.2,1,True,False,False,False,False,Positive score; all six counts zero
517,0,0,0,3,29,2,0.0,0,False,False,False,False,True,Active label; no materials recorded
520,0,0,0,1,1,3,0.0,0,False,False,False,False,True,Active label; no materials recorded
525,0,0,0,1,112,10,0.04,0,False,False,False,False,True,Active label; no materials recorded
527,0,0,0,1,2,9,6.7,0,False,False,False,False,True,Active label; no materials recorded
556,0,0,0,1,25,1,1.06,0,False,False,False,False,True,Active label; no materials recorded
608,0,0,0,1,46,2,0.0,0,False,False,False,False,True,Active label; no materials recorded
659,0,0,0,1,2,11,51.7,0,False,False,False,False,True,Active label; no materials recorded
662,0,0,0,1,33,3,0.39,0,False,False,False,False,True,Active label; no materials recorded
701,0,7,0,1,0,4,141.05,0,False,False,True,False,False,Active label; no students recorded
742,0,0,0,1,15,1,0.0,0,False,False,False,False,True,Active label; no materials recorded
751,0,0,0,0,0,0,0.2,1,True,False,False,False,False,Positive score; all six counts zero
782,0,0,0,0,1,0,39.2,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
796,0,0,0,0,245,0,0.62,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
799,0,0,0,0,0,0,0.8,1,True,False,False,False,False,Positive score; all six counts zero
804,0,0,0,0,0,0,1.2,1,True,False,False,False,False,Positive score; all six counts zero
822,0,0,0,1,1,1,0.0,0,False,False,False,False,True,Active label; no materials recorded
830,0,0,0,1,275,10,0.02,0,False,False,False,False,True,Active label; no materials recorded
841,0,0,0,0,72,2,0.1,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
847,0,0,0,0,376,10,1.97,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
859,0,6,0,0,65,0,12.14,0,False,False,False,True,False,Active label; no teacher or no class recorded
868,0,1,0,0,216,0,0.0,0,False,True,False,True,False,Materials recorded; score zero; Active label; no teacher or no class recorded
882,0,0,0,1,0,0,47.4,0,False,False,True,True,True,Active label; no students recorded; Active label; no teacher or no class recorded; Active label; no materials recorded
885,0,0,0,34,811,26,0.0,0,False,False,False,False,True,Active label; no materials recorded
895,0,0,0,1,0,5,6.4,0,False,False,True,False,True,Active label; no students recorded; Active label; no materials recorded
899,0,0,0,1,0,0,0.0,0,False,False,True,True,True,Active label; no students recorded; Active label; no teacher or no class recorded; Active label; no materials recorded
926,0,0,0,1,241,8,0.0,0,False,False,False,False,True,Active label; no materials recorded
928,0,0,0,2,89,8,0.42,0,False,False,False,False,True,Active label; no materials recorded
934,0,0,0,1,81,4,0.0,0,False,False,False,False,True,Active label; no materials recorded
935,0,0,0,1,130,4,0.0,0,False,False,False,False,True,Active label; no materials recorded
947,0,0,0,1,14,2,0.0,0,False,False,False,False,True,Active label; no materials recorded
958,0,0,0,0,0,0,1.2,1,True,False,False,False,False,Positive score; all six counts zero
967,0,0,0,0,0,0,2.6,1,True,False,False,False,False,Positive score; all six counts zero
974,0,0,0,0,0,0,2.4,1,True,False,False,False,False,Positive score; all six counts zero
989,0,1,0,0,1,0,3.75,0,False,False,False,True,False,Active label; no teacher or no class recorded
1006,0,0,0,0,45,0,0.11,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
1007,0,0,0,0,211,0,0.0,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
1012,0,0,0,0,35,1,0.0,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
1027,0,0,0,1,62,10,0.0,0,False,False,False,False,True,Active label; no materials recorded
1031,0,0,0,1,115,5,0.0,0,False,False,False,False,True,Active label; no materials recorded
1047,0,0,0,0,0,0,2.2,1,True,False,False,False,False,Positive score; all six counts zero
1055,0,1,0,2,36,3,0.0,1,False,True,False,False,False,Materials recorded; score zero
1092,0,0,0,1,0,0,0.0,0,False,False,True,True,True,Active label; no students recorded; Active label; no teacher or no class recorded; Active label; no materials recorded
1110,0,0,0,0,0,0,0.2,1,True,False,False,False,False,Positive score; all six counts zero
1127,0,0,0,0,0,0,50.2,1,True,False,False,False,False,Positive score; all six counts zero
1136,0,1,0,1,108,11,0.0,0,False,True,False,False,False,Materials recorded; score zero
1138,0,1,0,2,152,5,0.0,0,False,True,False,False,False,Materials recorded; score zero
1159,0,0,0,0,21,0,0.39,0,False,False,False,True,True,Active label; no teacher or no class recorded; Active label; no materials recorded
1160,0,0,0,0,0,0,1.8,1,True,False,False,False,False,Positive score; all six counts zero
1164,0,3,0,0,33,1,6.37,0,False,False,False,True,False,Active label; no teacher or no class recorded
1167,0,0,0,1,35,1,0.0,0,False,False,False,False,True,Active label; no materials recorded
1202,0,0,0,5,14,13,0.0,0,False,False,False,False,True,Active label; no materials recorded
1208,0,0,0,0,0,0,0.8,1,True,False,False,False,False,Positive score; all six counts zero
1218,0,0,0,2,7,3,0.4,0,False,False,False,False,True,Active label; no materials recorded
1221,0,0,0,1,28,3,0.0,0,False,False,False,False,True,Active label; no materials recorded
