check,pandas_value,duckdb_value,passed
headline.institutions,1083.0,1083.0,True
headline.unique_institutions,1083.0,1083.0,True
headline.churn_labelled,1017.0,1017.0,True
headline.active_labelled,66.0,66.0,True
headline.churn_label_share_pct,93.90581717451524,93.90581717451524,True
headline.recorded_students,10213.0,10213.0,True
headline.recorded_teachers,846.0,846.0,True
headline.recorded_classes,1313.0,1313.0,True
headline.recorded_materials,108.0,108.0,True
student_band.0.count,737.0,737.0,True
student_band.0.churn,732.0,732.0,True
student_band.0.share,99.32157394843962,99.32157394843962,True
student_band.1-10.count,250.0,250.0,True
student_band.1-10.churn,240.0,240.0,True
student_band.1-10.share,96.0,96.0,True
student_band.11-50.count,46.0,46.0,True
student_band.11-50.churn,29.0,29.0,True
student_band.11-50.share,63.04347826086957,63.04347826086957,True
student_band.51+.count,50.0,50.0,True
student_band.51+.churn,16.0,16.0,True
student_band.51+.share,32.0,32.0,True
label.0,66.0,66.0,True
label.1,1017.0,1017.0,True
engagement.0.assessment_count.total,0.0,0.0,True
engagement.0.assessment_count.mean,0.0,0.0,True
engagement.0.assessment_count.median,0.0,0.0,True
engagement.0.assessment_count.p25,0.0,0.0,True
engagement.0.assessment_count.p75,0.0,0.0,True
engagement.0.assessment_count.positive_count,0.0,0.0,True
engagement.0.assessment_count.positive_share_pct,0.0,0.0,True
engagement.0.attendance_count.total,0.0,0.0,True
engagement.0.attendance_count.mean,0.0,0.0,True
engagement.0.attendance_count.median,0.0,0.0,True
engagement.0.attendance_count.p25,0.0,0.0,True
engagement.0.attendance_count.p75,0.0,0.0,True
engagement.0.attendance_count.positive_count,0.0,0.0,True
engagement.0.attendance_count.positive_share_pct,0.0,0.0,True
engagement.0.class_count.total,298.0,298.0,True
engagement.0.class_count.mean,4.515151515151516,4.515151515151516,True
engagement.0.class_count.median,3.0,3.0,True
engagement.0.class_count.p25,1.0,1.0,True
engagement.0.class_count.p75,7.75,7.75,True
engagement.0.class_count.positive_count,53.0,53.0,True
engagement.0.class_count.positive_share_pct,80.3030303030303,80.3030303030303,True
engagement.0.engagement_score.total,334.34000000000003,334.3399999999999,True
engagement.0.engagement_score.mean,5.065757575757576,5.065757575757575,True
engagement.0.engagement_score.median,0.035,0.035,True
engagement.0.engagement_score.p25,0.0,0.0,True
engagement.0.engagement_score.p75,0.615,0.615,True
engagement.0.engagement_score.positive_count,37.0,37.0,True
engagement.0.engagement_score.positive_share_pct,56.060606060606055,56.060606060606055,True
